* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A) NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which  Infineon disclaims to the maximum extent permitted by applicable law; and
* (B) NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* (C) LIMITATION OF LIABILITY: IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR ANY OTHER LEGAL THEORY, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
* © 2020 Infineon Technologies AG. All rights reserved.

* Note:
* The CMOS transistor models used, were freely available models downloaded from: http://ptm.asu.edu.
* The bipolar transistor models are from: The Development of Bipolar Log-Domain Filters in a Standard CMOS Process, G. D. Duerden, G. W. Roberts, M. J. Deen, 2001

* Release:
* 	version 2.0

Tag,Net,path-port,device,terminal
TAG	,	Net	,	Path	,	Device	,	Terminal
G_158	,	DUT.div	,	DUT.I14.I0.M132:g	,	nreg	,	g
G_159	,	DUT.div	,	DUT.I14.I0.M128:g	,	nreg	,	g
G_160	,	DUT.div	,	DUT.I14.I0.M120:g	,	nreg	,	g
G_161	,	DUT.div	,	DUT.I14.I0.M53:g	,	nreg	,	g
G_162	,	DUT.div	,	DUT.I42.I7.ptrans10:g	,	preg	,	g
G_163	,	DUT.div	,	DUT.I42.I7.ntrans11:g	,	nreg	,	g
G_164	,	DUT.dn	,	DUT.I32.I14.ptrans10:g	,	preg	,	g
G_165	,	DUT.dn	,	DUT.I32.I14.ntrans11:g	,	nreg	,	g
G_166	,	DUT.dn	,	DUT.I42.I1.ptrans10:g	,	preg	,	g
G_167	,	DUT.dn	,	DUT.I42.I1.ntrans11:g	,	nreg	,	g
G_168	,	DUT.ref	,	DUT.I14.I138.M123:g	,	preg	,	g
G_169	,	DUT.ref	,	DUT.I14.I138.M119:g	,	preg	,	g
G_170	,	DUT.ref	,	DUT.I14.I138.M48:g	,	preg	,	g
G_171	,	DUT.ref	,	DUT.I14.I138.M132:g	,	nreg	,	g
G_172	,	DUT.ref	,	DUT.I14.I138.M128:g	,	nreg	,	g
G_173	,	DUT.ref	,	DUT.I14.I138.M120:g	,	nreg	,	g
G_174	,	DUT.ref	,	DUT.I14.I138.M53:g	,	nreg	,	g
G_175	,	DUT.ref	,	DUT.I42.I4.ptrans10:g	,	preg	,	g
G_176	,	DUT.ref	,	DUT.I42.I4.ntrans11:g	,	nreg	,	g
G_177	,	DUT.up	,	DUT.I32.I13.ptrans10:g	,	preg	,	g
G_178	,	DUT.up	,	DUT.I32.I13.ntrans11:g	,	nreg	,	g
G_179	,	DUT.up	,	DUT.I42.I15.ptrans10:g	,	preg	,	g
G_180	,	DUT.up	,	DUT.I42.I15.ntrans11:g	,	nreg	,	g
G_181	,	DUT.oscin	,	DUT.I0.M41:g	,	preg	,	g
G_182	,	DUT.oscin	,	DUT.I0.M42:g	,	preg	,	g
G_183	,	DUT.net038	,	DUT.M4:g	,	nreg	,	g
G_184	,	DUT.net056	,	DUT.M2:g	,	nreg	,	g
G_185	,	DUT.filtout	,	DUT.I32.M8:g	,	preg	,	g
G_186	,	DUT.filtout	,	DUT.I32.M7:g	,	nreg	,	g
G_187	,	DUT.net050	,	DUT.I70.M123:g	,	preg	,	g
G_188	,	DUT.net050	,	DUT.I70.M119:g	,	preg	,	g
G_189	,	DUT.net050	,	DUT.I70.M48:g	,	preg	,	g
G_190	,	DUT.net050	,	DUT.I70.M132:g	,	nreg	,	g
G_191	,	DUT.net050	,	DUT.I70.M128:g	,	nreg	,	g
G_192	,	DUT.net050	,	DUT.I70.M120:g	,	nreg	,	g
G_193	,	DUT.net050	,	DUT.I70.M53:g	,	nreg	,	g
G_194	,	DUT.net049	,	DUT.I70.M129:g	,	preg	,	g
G_195	,	DUT.net049	,	DUT.I70.M127:g	,	preg	,	g
G_196	,	DUT.net049	,	DUT.I70.M55:g	,	preg	,	g
G_197	,	DUT.net049	,	DUT.I70.M43:g	,	preg	,	g
G_198	,	DUT.net049	,	DUT.I70.M126:g	,	nreg	,	g
G_199	,	DUT.net049	,	DUT.I70.M45:g	,	nreg	,	g
G_200	,	DUT.net049	,	DUT.I70.M54:g	,	nreg	,	g
G_201	,	DUT.net083	,	DUT.I70.M122:g	,	preg	,	g
G_202	,	DUT.net083	,	DUT.I70.M124:g	,	nreg	,	g
G_203	,	DUT.net083	,	DUT.I71.ptrans10:g	,	preg	,	g
G_204	,	DUT.net083	,	DUT.I71.ntrans11:g	,	nreg	,	g
G_205	,	DUT.net084	,	DUT.I57.I150.M81:g	,	preg	,	g
G_206	,	DUT.net084	,	DUT.I57.I150.M80:g	,	preg	,	g
G_207	,	DUT.net084	,	DUT.I57.I150.M83:g	,	nreg	,	g
G_208	,	DUT.net084	,	DUT.I57.I150.M82:g	,	nreg	,	g
G_209	,	DUT.net069	,	DUT.I74.M123:g	,	preg	,	g
G_210	,	DUT.net069	,	DUT.I74.M119:g	,	preg	,	g
G_211	,	DUT.net069	,	DUT.I74.M48:g	,	preg	,	g
G_212	,	DUT.net069	,	DUT.I74.M132:g	,	nreg	,	g
G_213	,	DUT.net069	,	DUT.I74.M128:g	,	nreg	,	g
G_214	,	DUT.net069	,	DUT.I74.M120:g	,	nreg	,	g
G_215	,	DUT.net069	,	DUT.I74.M53:g	,	nreg	,	g
G_216	,	DUT.net026	,	DUT.I51.I150.M81:g	,	preg	,	g
G_217	,	DUT.net026	,	DUT.I51.I150.M80:g	,	preg	,	g
G_218	,	DUT.net026	,	DUT.I51.I150.M83:g	,	nreg	,	g
G_219	,	DUT.net026	,	DUT.I51.I150.M82:g	,	nreg	,	g
G_220	,	DUT.net086	,	DUT.I73.M123:g	,	preg	,	g
G_221	,	DUT.net086	,	DUT.I73.M119:g	,	preg	,	g
G_222	,	DUT.net086	,	DUT.I73.M48:g	,	preg	,	g
G_223	,	DUT.net086	,	DUT.I73.M132:g	,	nreg	,	g
G_224	,	DUT.net086	,	DUT.I73.M128:g	,	nreg	,	g
G_225	,	DUT.net086	,	DUT.I73.M120:g	,	nreg	,	g
G_226	,	DUT.net086	,	DUT.I73.M53:g	,	nreg	,	g
G_227	,	DUT.net058	,	DUT.I72.ptrans10:g	,	preg	,	g
G_228	,	DUT.net058	,	DUT.I72.ntrans11:g	,	nreg	,	g
G_229	,	DUT.net077	,	DUT.I69.ptrans10:g	,	preg	,	g
G_230	,	DUT.net077	,	DUT.I69.ntrans11:g	,	nreg	,	g
G_231	,	DUT.net075	,	DUT.I61.ptrans10:g	,	preg	,	g
G_232	,	DUT.net075	,	DUT.I61.ntrans11:g	,	nreg	,	g
G_233	,	DUT.net028	,	DUT.I59.ptrans10:g	,	preg	,	g
G_234	,	DUT.net028	,	DUT.I59.ntrans11:g	,	nreg	,	g
G_235	,	DUT.net070	,	DUT.I54.ptrans10:g	,	preg	,	g
G_236	,	DUT.net070	,	DUT.I54.ntrans11:g	,	nreg	,	g
G_237	,	DUT.net070	,	DUT.I77.ptrans23:g	,	preg	,	g
G_238	,	DUT.net070	,	DUT.I77.ntrans20:g	,	nreg	,	g
G_239	,	DUT.net090	,	DUT.I53.ptrans10:g	,	preg	,	g
G_240	,	DUT.net090	,	DUT.I53.ntrans11:g	,	nreg	,	g
G_241	,	DUT.net090	,	DUT.I79.ptrans10:g	,	preg	,	g
G_242	,	DUT.net090	,	DUT.I79.ntrans11:g	,	nreg	,	g
G_243	,	DUT.net090	,	DUT.I76.ptrans23:g	,	preg	,	g
G_244	,	DUT.net090	,	DUT.I76.ntrans20:g	,	nreg	,	g
G_245	,	DUT.net033	,	DUT.I47.ptrans10:g	,	preg	,	g
G_246	,	DUT.net033	,	DUT.I47.ntrans11:g	,	nreg	,	g
G_247	,	DUT.net032	,	DUT.I46.ptrans10:g	,	preg	,	g
G_248	,	DUT.net032	,	DUT.I46.ntrans11:g	,	nreg	,	g
G_249	,	DUT.net098	,	DUT.I62.ptrans10:g	,	preg	,	g
G_250	,	DUT.net098	,	DUT.I62.ntrans11:g	,	nreg	,	g
G_251	,	DUT.net066	,	DUT.I77.ptrans24:g	,	preg	,	g
G_252	,	DUT.net066	,	DUT.I77.ntrans21:g	,	nreg	,	g
G_253	,	DUT.net029	,	DUT.I60.ptrans10:g	,	preg	,	g
G_254	,	DUT.net029	,	DUT.I60.ntrans11:g	,	nreg	,	g
G_255	,	DUT.net029	,	DUT.I74.M122:g	,	preg	,	g
G_256	,	DUT.net029	,	DUT.I74.M124:g	,	nreg	,	g
G_257	,	DUT.net037	,	DUT.I56.ptrans10:g	,	preg	,	g
